user_id,age,region,account_type,preferred_device
94,41,West,Premium,Tablet
95,43,North,Premium,Tablet
96,42,North,Enterprise,Desktop
97,62,West,Premium,Tablet
98,58,West,Enterprise,Mobile
99,46,East,Free,Desktop
100,32,South,Free,Desktop
101,62,West,Free,Mobile
102,18,North,Free,Mobile
103,42,East,Enterprise,Desktop
104,24,West,Premium,Tablet
105,26,North,Free,Desktop
106,41,North,Premium,Mobile
107,18,South,Enterprise,Desktop
108,61,East,Enterprise,Mobile
109,25,East,Enterprise,Desktop
110,41,South,Free,Tablet
111,28,South,Premium,Desktop
112,68,East,Premium,Desktop
113,34,East,Premium,Mobile
114,25,West,Enterprise,Mobile
115,52,West,Free,Mobile
116,52,South,Enterprise,Desktop
117,50,West,Enterprise,Tablet
118,22,North,Premium,Mobile
119,59,West,Enterprise,Mobile
120,56,West,Premium,Desktop
121,58,North,Free,Mobile
122,45,South,Premium,Tablet
123,24,North,Free,Tablet
124,26,West,Premium,Mobile
125,25,South,Enterprise,Mobile
126,29,West,Enterprise,Desktop
127,51,North,Free,Tablet
128,50,North,Free,Tablet
129,65,West,Free,Mobile
130,40,East,Premium,Desktop
131,41,East,Premium,Tablet
132,54,North,Free,Tablet
133,52,North,Enterprise,Desktop
134,61,East,Premium,Desktop
135,57,East,Premium,Tablet
136,39,West,Premium,Tablet
137,44,West,Free,Desktop
138,52,East,Free,Tablet
139,18,West,Free,Mobile
140,52,West,Free,Mobile
141,54,South,Free,Desktop
142,64,West,Enterprise,Desktop
143,31,North,Enterprise,Desktop
144,20,West,Free,Mobile
145,18,West,Premium,Tablet
146,22,East,Free,Mobile
147,43,North,Enterprise,Tablet
148,31,West,Enterprise,Mobile
149,56,West,Premium,Tablet
150,44,South,Enterprise,Mobile
151,26,West,Free,Desktop
152,32,West,Premium,Mobile
153,32,South,Free,Tablet
154,43,East,Free,Mobile
155,59,West,Premium,Mobile
156,30,South,Free,Mobile
157,68,North,Enterprise,Desktop
158,49,East,Free,Mobile
159,56,North,Premium,Desktop
160,66,North,Premium,Desktop
161,69,South,Premium,Mobile
162,49,West,Free,Mobile
163,21,South,Premium,Mobile
164,47,South,Premium,Tablet
165,54,South,Free,Mobile
166,40,South,Enterprise,Desktop
167,56,East,Free,Mobile
168,62,West,Premium,Tablet
169,32,North,Premium,Mobile
170,60,North,Free,Tablet
171,46,West,Enterprise,Tablet
172,53,North,Premium,Mobile
173,30,West,Premium,Desktop
174,49,North,Premium,Tablet
175,24,South,Free,Mobile
176,68,North,Premium,Mobile
177,39,West,Enterprise,Desktop
178,45,West,Premium,Tablet
179,19,West,Premium,Tablet
180,59,West,Enterprise,Mobile
181,62,West,Premium,Mobile
182,23,East,Free,Desktop
183,45,East,Free,Desktop
184,45,North,Free,Tablet
185,61,West,Enterprise,Tablet
186,61,North,Premium,Mobile
187,37,West,Free,Tablet
188,47,West,Enterprise,Desktop
189,28,East,Premium,Desktop
190,45,East,Enterprise,Mobile
191,42,South,Free,Desktop
192,56,East,Free,Desktop
193,50,South,Free,Desktop
194,18,South,Enterprise,Desktop
195,44,South,Enterprise,Mobile
196,69,South,Free,Mobile
197,30,South,Enterprise,Tablet
198,58,North,Free,Desktop
199,20,East,Free,Tablet
200,56,South,Premium,Mobile
